"FECHA","DIA","INFEC_SINTO","HOSPITALIZADOS","AMBULATORIOS","MUERTES"
"2020-03-11",0,1,0,0,0
"2020-03-12",1,1,0,0,0
"2020-03-13",2,0,0,0,0
"2020-03-14",3,0,0,0,0
"2020-03-15",4,0,0,1,0
"2020-03-16",5,1,0,0,0
"2020-03-17",6,4,0,2,0
"2020-03-18",7,0,0,0,0
"2020-03-19",8,2,0,0,0
"2020-03-20",9,0,0,0,0
"2020-03-21",10,0,0,0,0
"2020-03-22",11,0,0,0,0
"2020-03-23",12,1,1,0,0
"2020-03-24",13,2,0,1,0
"2020-03-25",14,0,0,1,0
"2020-03-26",15,0,0,1,0
"2020-03-27",16,1,1,2,0
"2020-03-28",17,3,0,0,0
"2020-03-29",18,0,0,0,0
"2020-03-30",19,0,0,0,0
"2020-03-31",20,0,0,3,0
"2020-04-01",21,5,0,0,0
"2020-04-02",22,0,0,0,0
"2020-04-03",23,0,0,0,0
"2020-04-04",24,4,0,3,0
"2020-04-05",25,0,1,0,0
"2020-04-06",26,1,1,0,0
"2020-04-07",27,1,2,1,0
"2020-04-08",28,1,1,0,0
"2020-04-09",29,2,2,1,1
"2020-04-10",30,0,0,1,0
"2020-04-11",31,2,1,1,0
"2020-04-12",32,1,0,0,0
"2020-04-13",33,0,0,0,0
"2020-04-14",34,0,0,0,0
"2020-04-15",35,0,1,1,0
"2020-04-16",36,3,0,0,0
"2020-04-17",37,4,1,1,1
"2020-04-18",38,5,0,1,0
"2020-04-19",39,7,1,0,0
"2020-04-20",40,6,0,0,0
"2020-04-21",41,6,2,3,0
"2020-04-22",42,7,3,4,0
"2020-04-23",43,8,0,2,0
"2020-04-24",44,6,0,7,0
"2020-04-25",45,5,2,1,1
"2020-04-26",46,6,0,6,0
"2020-04-27",47,9,1,8,0
"2020-04-28",48,6,0,6,1
"2020-04-29",49,5,0,1,0
"2020-04-30",50,16,0,8,0
"2020-05-01",51,12,1,5,0
"2020-05-02",52,19,0,15,0
"2020-05-03",53,19,0,6,0
"2020-05-04",54,29,1,19,1
"2020-05-05",55,17,1,29,0
"2020-05-06",56,27,1,10,0
"2020-05-07",57,28,1,12,1
"2020-05-08",58,31,3,19,0
"2020-05-09",59,26,1,23,0
"2020-05-10",60,40,0,12,0
"2020-05-11",61,24,4,33,1
"2020-05-12",62,24,3,25,0
"2020-05-13",63,29,5,37,1
"2020-05-14",64,27,5,16,1
"2020-05-15",65,73,5,23,0
"2020-05-16",66,85,1,19,1
"2020-05-17",67,88,5,26,0
"2020-05-18",68,62,6,58,0
"2020-05-19",69,57,1,51,0
"2020-05-20",70,70,6,54,1
"2020-05-21",71,59,8,79,0
"2020-05-22",72,97,13,51,1
"2020-05-23",73,83,13,50,4
"2020-05-24",74,68,12,46,4
"2020-05-25",75,138,15,53,3
"2020-05-26",76,68,4,102,5
"2020-05-27",77,77,10,78,2
"2020-05-28",78,68,9,106,3
"2020-05-29",79,77,11,94,3
"2020-05-30",80,91,12,38,2
"2020-05-31",81,63,17,45,3
"2020-06-01",82,122,22,63,5
"2020-06-02",83,70,22,60,5
"2020-06-03",84,78,12,70,4
"2020-06-04",85,78,21,57,6
"2020-06-05",86,85,18,47,10
"2020-06-06",87,107,31,43,3
"2020-06-07",88,98,16,32,6
"2020-06-08",89,104,23,80,3
"2020-06-09",90,95,23,70,9
"2020-06-10",91,103,19,72,4
"2020-06-11",92,86,18,72,10
"2020-06-12",93,91,22,69,11
"2020-06-13",94,118,27,60,10
"2020-06-14",95,99,29,34,10
"2020-06-15",96,136,21,102,13
"2020-06-16",97,112,25,83,12
"2020-06-17",98,93,21,85,7
"2020-06-18",99,120,31,75,12
"2020-06-19",100,121,24,121,8
"2020-06-20",101,170,27,56,14
"2020-06-21",102,117,19,58,8
"2020-06-22",103,163,32,124,12
"2020-06-23",104,131,41,90,15
"2020-06-24",105,139,25,86,15
"2020-06-25",106,200,31,124,12
"2020-06-26",107,192,32,95,12
"2020-06-27",108,153,37,53,11
"2020-06-28",109,193,36,67,16
"2020-06-29",110,192,29,118,8
"2020-06-30",111,245,44,153,7
"2020-07-01",112,283,35,162,20
"2020-07-02",113,169,27,203,12
"2020-07-03",114,186,29,120,12
"2020-07-04",115,128,22,88,11
"2020-07-05",116,162,21,128,13
"2020-07-06",117,116,40,220,13
"2020-07-07",118,93,41,172,18
"2020-07-08",119,88,39,173,22
"2020-07-09",120,66,40,167,19
"2020-07-10",121,122,30,147,22
"2020-07-11",122,81,42,88,16
"2020-07-12",123,52,29,36,17
"2020-07-13",124,58,29,122,19
"2020-07-14",125,37,23,89,17
"2020-07-15",126,81,33,48,16
"2020-07-16",127,73,26,73,18
"2020-07-17",128,52,27,69,7
"2020-07-18",129,52,19,31,8
"2020-07-19",130,43,24,22,12
"2020-07-20",131,88,27,75,15
"2020-07-21",132,54,22,41,18
"2020-07-22",133,49,19,31,11
"2020-07-23",134,45,15,53,17
"2020-07-24",135,40,16,44,8
"2020-07-25",136,51,18,23,5
"2020-07-26",137,68,14,13,11
"2020-07-27",138,61,23,48,14
"2020-07-28",139,40,19,43,9
"2020-07-29",140,47,12,52,9
"2020-07-30",141,53,4,60,8
"2020-07-31",142,61,7,29,7
"2020-08-01",143,61,16,22,8
"2020-08-02",144,59,9,35,3
"2020-08-03",145,73,13,70,4
"2020-08-04",146,34,8,59,9
"2020-08-05",147,64,12,48,6
"2020-08-06",148,48,11,51,4
"2020-08-07",149,44,14,51,3
"2020-08-08",150,51,4,27,7
"2020-08-09",151,66,7,28,1
"2020-08-10",152,62,13,47,1
"2020-08-11",153,33,11,49,6
"2020-08-12",154,29,13,38,3
"2020-08-13",155,48,11,57,3
"2020-08-14",156,57,8,48,5
"2020-08-15",157,56,11,30,1
"2020-08-16",158,41,4,18,4
"2020-08-17",159,26,6,70,6
"2020-08-18",160,31,6,42,0
"2020-08-19",161,20,8,42,6
"2020-08-20",162,22,1,27,3
"2020-08-21",163,19,1,28,1
"2020-08-22",164,3,4,20,0
"2020-08-23",165,1,1,24,0
"2020-08-24",166,0,0,8,1
"2020-08-25",167,0,0,0,1
"2020-08-26",168,0,0,0,1
